Sale Date,Product Type,Quantity
2023-01-02 20:38:07.014350717,Toys,7
2023-01-03 00:04:19.572978648,Electronics,3
2023-01-02 11:30:32.131606580,Toys,6
2023-01-02 13:56:44.690234511,Clothing,4
2023-01-02 17:22:57.248862443,Books,8
2023-01-02 15:49:09.807490374,Toys,3
2023-01-02 20:15:22.366118305,Toys,4
2023-01-02 14:41:34.924746237,Toys,9
2023-01-02 16:07:47.483374168,Electronics,14
2023-01-02 13:34:00.042002100,Electronics,6
2023-01-02 19:00:12.600630031,Toys,8
2023-01-03 05:26:25.159257962,Clothing,7
2023-01-02 15:52:37.717885894,Clothing,7
2023-01-02 15:18:50.276513825,Toys,5
2023-01-03 05:45:02.835141757,Furniture,7
2023-01-03 14:11:15.393769688,Books,8
2023-01-02 20:37:27.952397619,Clothing,5
2023-01-02 23:03:40.511025551,Electronics,15
2023-01-03 16:29:53.069653482,Books,1
2023-01-03 16:56:05.628281414,Furniture,1
2023-01-02 19:22:18.186909345,Books,8
2023-01-03 10:48:30.745537276,Books,3
2023-01-02 20:14:43.304165208,Books,2
2023-01-03 00:40:55.862793139,Electronics,15
2023-01-02 22:07:08.421421071,Clothing,7
2023-01-02 23:33:20.980049002,Books,4
2023-01-03 14:59:33.538676933,Books,1
2023-01-03 16:25:46.097304865,Electronics,10
2023-01-03 18:51:58.655932796,Books,10
2023-01-03 14:18:11.214560728,Furniture,5
2023-01-03 04:44:23.773188659,Furniture,4
2023-01-03 07:10:36.331816590,Toys,3
2023-01-03 20:36:48.890444522,Furniture,8
2023-01-03 10:03:01.449072453,Electronics,2
2023-01-03 14:29:14.007700385,Books,10
2023-01-03 03:55:26.566328316,Electronics,14
2023-01-03 07:21:39.124956247,Books,5
2023-01-03 05:47:51.683584179,Furniture,2
2023-01-03 09:14:04.242212110,Furniture,5
2023-01-03 07:40:16.800840042,Toys,9
2023-01-04 01:06:29.359467973,Furniture,10
2023-01-03 23:32:41.918095904,Books,1
2023-01-04 00:58:54.476723836,Books,5
2023-01-04 01:25:07.035351767,Electronics,4
2023-01-03 12:51:19.593979698,Electronics,3
2023-01-04 04:17:32.152607630,Books,3
2023-01-03 13:43:44.711235561,Furniture,10
2023-01-03 12:09:57.269863493,Furniture,4
2023-01-04 03:36:09.828491424,Furniture,9
2023-01-03 22:02:22.387119355,Furniture,1
2023-01-03 09:28:34.945747287,Toys,5
2023-01-03 08:54:47.504375218,Electronics,9
2023-01-03 12:21:00.063003150,Furniture,3
2023-01-04 07:47:12.621631081,Toys,9
2023-01-04 07:13:25.180259012,Toys,9
2023-01-03 09:39:37.738886944,Electronics,3
2023-01-04 08:05:50.297514875,Clothing,9
2023-01-03 11:32:02.856142807,Furniture,10
2023-01-04 03:58:15.414770738,Clothing,7
2023-01-03 15:24:27.973398669,Electronics,8
2023-01-03 22:50:40.532026601,Electronics,9
2023-01-03 18:16:53.090654532,Clothing,2
2023-01-03 23:43:05.649282464,Books,7
2023-01-04 08:09:18.207910395,Clothing,4
2023-01-03 18:35:30.766538326,Clothing,7
2023-01-03 14:01:43.325166258,Clothing,6
2023-01-04 03:27:55.883794189,Clothing,5
2023-01-03 19:54:08.442422121,Electronics,10
2023-01-03 16:20:21.001050052,Toys,4
2023-01-03 21:46:33.559677983,Toys,6
2023-01-04 01:12:46.118305915,Clothing,4
2023-01-03 16:38:58.676933846,Clothing,7
2023-01-04 03:05:11.235561778,Furniture,2
2023-01-04 01:31:23.794189709,Furniture,9
2023-01-04 05:57:36.352817640,Books,6
2023-01-03 18:23:48.911445572,Electronics,8
2023-01-03 23:50:01.470073503,Books,5
2023-01-03 20:16:14.028701435,Electronics,15
2023-01-04 08:42:26.587329366,Furniture,6
2023-01-04 09:08:39.145957297,Books,9
2023-01-03 23:34:51.704585229,Toys,10
2023-01-04 03:01:04.263213160,Furniture,1
2023-01-04 19:27:16.821841092,Toys,1
2023-01-04 13:53:29.380469023,Books,4
2023-01-04 09:19:41.939096954,Toys,2
2023-01-04 19:45:54.497724886,Furniture,10
2023-01-04 09:12:07.056352817,Electronics,8
2023-01-04 15:38:19.614980749,Furniture,7
2023-01-04 10:04:32.173608680,Toys,5
2023-01-04 17:30:44.732236611,Clothing,4
2023-01-04 13:56:57.290864543,Toys,3
2023-01-04 20:23:09.849492474,Books,5
2023-01-04 13:49:22.408120406,Books,1
2023-01-04 11:15:34.966748337,Furniture,4
2023-01-04 15:41:47.525376268,Books,10
2023-01-04 23:08:00.084004200,Furniture,8
2023-01-04 17:34:12.642632131,Toys,4
2023-01-04 20:00:25.201260063,Toys,3
2023-01-05 01:26:37.759887994,Electronics,8
2023-01-04 20:52:50.318515925,Books,6
2023-01-04 07:19:02.877143857,Clothing,5
2023-01-04 12:45:15.435771788,Clothing,3
2023-01-04 06:11:27.994399720,Electronics,6
2023-01-04 21:37:40.553027651,Books,2
2023-01-04 21:03:53.111655582,Toys,10
2023-01-04 13:30:05.670283514,Toys,8
2023-01-04 19:56:18.228911445,Clothing,3
2023-01-05 04:22:30.787539376,Electronics,3
2023-01-04 21:48:43.346167308,Clothing,3
2023-01-05 07:14:55.904795239,Books,8
2023-01-04 10:41:08.463423171,Books,4
2023-01-04 13:07:21.022051102,Toys,3
2023-01-05 00:33:33.580679033,Books,9
2023-01-05 05:59:46.139306965,Furniture,8
2023-01-05 06:25:58.697934896,Books,7
2023-01-05 04:52:11.256562828,Toys,3
2023-01-05 11:18:23.815190759,Toys,8
2023-01-04 20:44:36.373818690,Clothing,5
2023-01-05 05:10:48.932446622,Toys,4
2023-01-04 21:37:01.491074553,Toys,2
2023-01-05 12:03:14.049702485,Furniture,4
2023-01-04 22:29:26.608330416,Furniture,6
2023-01-05 07:55:39.166958347,Electronics,4
2023-01-04 19:21:51.725586279,Clothing,7
2023-01-05 13:48:04.284214210,Clothing,4
2023-01-04 18:14:16.842842142,Toys,7
2023-01-05 02:40:29.401470073,Books,8
2023-01-05 06:06:41.960098004,Electronics,6
2023-01-05 06:32:54.518725936,Toys,10
2023-01-05 15:59:07.077353867,Electronics,15
2023-01-05 06:25:19.635981799,Toys,1
2023-01-05 05:51:32.194609730,Furniture,7
2023-01-05 08:17:44.753237661,Books,9
2023-01-05 14:43:57.311865593,Clothing,8
2023-01-05 03:10:09.870493524,Furniture,7
2023-01-05 11:36:22.429121456,Electronics,10
2023-01-05 07:02:34.987749387,Toys,3
2023-01-05 11:28:47.546377318,Clothing,10
2023-01-05 14:55:00.105005250,Electronics,10
2023-01-05 16:21:12.663633181,Books,1
2023-01-05 00:47:25.222261113,Toys,3
2023-01-05 13:13:37.780889044,Clothing,1
2023-01-05 07:39:50.339516975,Toys,6
2023-01-05 06:06:02.898144907,Toys,6
2023-01-05 10:32:15.456772838,Toys,5
2023-01-05 13:58:28.015400770,Furniture,2
2023-01-05 16:24:40.574028701,Electronics,14
2023-01-05 02:50:53.132656632,Furniture,4
2023-01-05 22:17:05.691284564,Electronics,2
2023-01-05 02:43:18.249912495,Clothing,4
2023-01-05 03:09:30.808540427,Books,3
2023-01-05 10:35:43.367168358,Clothing,8
2023-01-06 01:01:55.925796289,Electronics,15
2023-01-05 10:28:08.484424221,Toys,5
2023-01-05 15:54:21.043052152,Clothing,10
2023-01-06 00:20:33.601680084,Electronics,4
2023-01-05 14:46:46.160308015,Electronics,15
2023-01-05 06:12:58.718935946,Furniture,10
2023-01-06 03:39:11.277563878,Toys,7
2023-01-06 05:05:23.836191809,Clothing,2
2023-01-06 01:31:36.394819740,Clothing,2
2023-01-06 05:57:48.953447672,Furniture,10
2023-01-05 11:24:01.512075603,Books,1
2023-01-05 19:50:14.070703535,Books,7
2023-01-06 06:16:26.629331466,Furniture,2
2023-01-06 01:42:39.187959397,Furniture,1
2023-01-05 23:08:51.746587329,Toys,2
2023-01-05 23:35:04.305215260,Furniture,8
2023-01-06 09:01:16.863843192,Clothing,7
2023-01-05 16:27:29.422471123,Books,5
2023-01-06 06:53:41.981099054,Books,8
2023-01-06 02:19:54.539726986,Toys,10
2023-01-05 20:46:07.098354917,Furniture,4
2023-01-05 15:12:19.656982849,Furniture,8
2023-01-05 20:38:32.215610780,Toys,10
2023-01-06 09:04:44.774238711,Toys,6
2023-01-05 14:30:57.332866643,Toys,6
2023-01-05 19:57:09.891494574,Toys,4
2023-01-06 02:23:22.450122506,Furniture,6
2023-01-05 23:49:35.008750437,Books,5
2023-01-06 09:15:47.567378368,Electronics,14
2023-01-05 22:42:00.126006300,Electronics,6
2023-01-06 16:08:12.684634231,Toys,8
2023-01-06 10:34:25.243262163,Clothing,8
2023-01-06 14:00:37.801890094,Toys,8
2023-01-05 18:26:50.360518025,Electronics,8
2023-01-06 01:53:02.919145957,Toys,4
2023-01-06 04:19:15.477773888,Books,6
2023-01-06 10:45:28.036401820,Books,9
2023-01-06 07:11:40.595029751,Toys,9
2023-01-06 06:37:53.153657682,Furniture,8
2023-01-06 05:04:05.712285614,Furniture,5
2023-01-06 04:30:18.270913545,Electronics,6
2023-01-06 07:56:30.829541477,Electronics,14
2023-01-06 20:22:43.388169408,Clothing,4
2023-01-06 04:48:55.946797339,Toys,5
2023-01-06 22:15:08.505425271,Books,9
2023-01-06 18:41:21.064053202,Furniture,2
2023-01-06 06:07:33.622681134,Furniture,4
2023-01-06 11:33:46.181309065,Clothing,5
2023-01-06 00:59:58.739936996,Books,3
2023-01-06 09:26:11.298564928,Electronics,2
2023-01-06 18:52:23.857192859,Furniture,3
2023-01-06 22:18:36.415820791,Toys,2
2023-01-06 02:44:48.974448722,Books,5
2023-01-06 18:11:01.533076653,Toys,8
2023-01-06 13:37:14.091704585,Clothing,1
2023-01-06 12:03:26.650332516,Toys,2
2023-01-06 06:29:39.208960448,Toys,8
2023-01-06 06:55:51.767588379,Books,1
2023-01-06 09:22:04.326216310,Clothing,10
2023-01-06 14:48:16.884844242,Electronics,6
2023-01-06 09:14:29.443472173,Books,7
2023-01-07 01:40:42.002100105,Books,10
2023-01-06 14:06:54.560728036,Books,7
2023-01-06 21:33:07.119355967,Toys,5
2023-01-07 01:59:19.677983899,Toys,5
2023-01-07 02:25:32.236611830,Books,1
2023-01-07 03:51:44.795239761,Electronics,6
2023-01-07 05:17:57.353867693,Clothing,5
2023-01-07 06:44:09.912495624,Electronics,4
2023-01-06 17:10:22.471123556,Clothing,9
2023-01-06 12:36:35.029751487,Clothing,1
2023-01-07 00:02:47.588379418,Toys,10
2023-01-07 02:29:00.147007350,Furniture,1
2023-01-06 18:55:12.705635281,Furniture,5
2023-01-07 10:21:25.264263213,Toys,2
2023-01-07 09:47:37.822891144,Clothing,5
2023-01-07 09:13:50.381519075,Books,4
2023-01-07 02:40:02.940147007,Electronics,14
2023-01-06 21:06:15.498774938,Clothing,5
2023-01-06 18:32:28.057402870,Electronics,2
2023-01-06 19:58:40.616030801,Furniture,10
2023-01-07 14:24:53.174658732,Books,5
2023-01-07 05:51:05.733286664,Electronics,12
2023-01-07 14:17:18.291914595,Furniture,7
2023-01-07 00:43:30.850542527,Books,9
2023-01-07 08:09:43.409170458,Toys,2
2023-01-07 12:35:55.967798389,Electronics,10
2023-01-07 17:02:08.526426321,Furniture,10
2023-01-07 02:28:21.085054252,Electronics,3
2023-01-07 01:54:33.643682184,Books,10
2023-01-06 19:20:46.202310115,Furniture,10
2023-01-06 20:46:58.760938046,Clothing,8
2023-01-07 12:13:11.319565978,Toys,5
2023-01-07 01:39:23.878193909,Books,7
2023-01-07 17:05:36.436821841,Toys,2
2023-01-07 12:31:48.995449772,Furniture,7
2023-01-07 07:58:01.554077703,Furniture,2
2023-01-07 03:24:14.112705635,Furniture,7
2023-01-07 20:50:26.671333566,Toys,5
2023-01-07 20:16:39.229961498,Toys,9
2023-01-07 00:42:51.788589429,Toys,2
2023-01-07 10:09:04.347217360,Furniture,6
2023-01-07 03:35:16.905845292,Toys,9
2023-01-07 01:01:29.464473223,Books,8
2023-01-07 14:27:42.023101155,Electronics,6
2023-01-07 17:53:54.581729086,Furniture,10
2023-01-07 17:20:07.140357017,Toys,1
2023-01-07 08:46:19.698984949,Furniture,9
2023-01-07 07:12:32.257612880,Furniture,8
2023-01-08 01:38:44.816240812,Toys,2
2023-01-07 04:04:57.374868743,Books,4
2023-01-08 02:31:09.933496674,Clothing,5
2023-01-07 21:57:22.492124606,Electronics,14
2023-01-07 18:23:35.050752537,Electronics,6
2023-01-07 08:49:47.609380469,Toys,2
2023-01-08 02:16:00.168008400,Clothing,8
2023-01-08 04:42:12.726636331,Furniture,9
2023-01-08 05:08:25.285264263,Furniture,7
2023-01-07 22:34:37.843892194,Toys,4
2023-01-07 22:00:50.402520126,Books,3
2023-01-07 20:27:02.961148057,Clothing,10
2023-01-08 00:53:15.519775988,Clothing,2
2023-01-07 17:19:28.078403920,Toys,6
2023-01-08 01:45:40.637031851,Furniture,1
2023-01-07 19:11:53.195659782,Furniture,10
2023-01-08 04:38:05.754287714,Toys,3
2023-01-08 01:04:18.312915645,Books,8
2023-01-07 22:30:30.871543577,Furniture,9
2023-01-08 04:56:43.430171508,Toys,8
2023-01-07 22:22:55.988799440,Clothing,4
2023-01-08 06:49:08.547427371,Toys,4
2023-01-08 02:15:21.106055302,Electronics,9
2023-01-08 12:41:33.664683234,Toys,7
2023-01-08 02:07:46.223311165,Clothing,8
2023-01-07 15:33:58.781939096,Clothing,9
2023-01-08 09:00:11.340567028,Furniture,2
2023-01-08 05:26:23.899194959,Electronics,14
2023-01-08 05:52:36.457822891,Electronics,4
2023-01-08 05:18:49.016450822,Clothing,2
2023-01-08 07:45:01.575078753,Furniture,6
2023-01-08 12:11:14.133706685,Toys,2
2023-01-08 03:37:26.692334616,Books,7
2023-01-08 04:03:39.250962548,Toys,9
2023-01-07 19:29:51.809590479,Books,2
2023-01-08 01:56:04.368218410,Furniture,4
2023-01-08 18:22:16.926846342,Electronics,10
2023-01-07 22:48:29.485474273,Electronics,12
2023-01-08 01:14:42.044102205,Furniture,1
2023-01-07 21:40:54.602730136,Furniture,1
2023-01-08 06:07:07.161358067,Furniture,6
2023-01-08 10:33:19.719985999,Clothing,4
2023-01-08 13:59:32.278613930,Toys,10
2023-01-08 19:25:44.837241862,Clothing,3
2023-01-08 03:51:57.395869793,Electronics,15
2023-01-08 11:18:09.954497724,Books,4
2023-01-08 14:44:22.513125656,Books,3
2023-01-08 07:10:35.071753587,Toys,5
2023-01-08 14:36:47.630381519,Furniture,1
2023-01-08 15:03:00.189009450,Furniture,9
2023-01-08 06:29:12.747637381,Electronics,12
2023-01-08 12:55:25.306265313,Books,5
2023-01-08 22:21:37.864893244,Toys,5
2023-01-08 16:47:50.423521176,Furniture,4
2023-01-08 15:14:02.982149107,Toys,2
2023-01-08 10:40:15.540777038,Toys,10
2023-01-08 15:06:28.099404970,Books,5
2023-01-09 02:32:40.658032901,Furniture,1
2023-01-09 01:58:53.216660833,Toys,5
2023-01-08 05:25:05.775288764,Books,1
2023-01-09 00:51:18.333916695,Toys,5
2023-01-08 13:17:30.892544627,Books,6
2023-01-08 13:43:43.451172558,Clothing,10
2023-01-08 15:09:56.009800490,Clothing,2
2023-01-09 03:36:08.568428421,Electronics,8
2023-01-08 22:02:21.127056352,Electronics,15
2023-01-08 19:28:33.685684284,Clothing,2
2023-01-08 17:54:46.244312215,Furniture,7
2023-01-08 14:20:58.802940147,Clothing,3
2023-01-09 02:47:11.361568078,Furniture,9
2023-01-09 02:13:23.920196009,Furniture,3
2023-01-08 18:39:36.478823941,Toys,5
2023-01-09 10:05:49.037451872,Furniture,2
2023-01-09 01:32:01.596079804,Electronics,4
2023-01-08 18:58:14.154707735,Toys,9
2023-01-08 23:24:26.713335666,Electronics,10
2023-01-08 12:50:39.271963598,Furniture,9
2023-01-08 16:16:51.830591529,Toys,6
2023-01-09 10:43:04.389219461,Furniture,10
2023-01-09 02:09:16.947847392,Furniture,2
2023-01-09 11:35:29.506475323,Clothing,8
2023-01-08 15:01:42.065103255,Books,9
2023-01-09 01:27:54.623731186,Books,4
2023-01-09 11:54:07.182359117,Electronics,12
2023-01-09 14:20:19.740987049,Furniture,7
2023-01-08 19:46:32.299614980,Clothing,1
2023-01-08 18:12:44.858242912,Furniture,8
2023-01-08 20:38:57.416870843,Electronics,6
2023-01-09 11:05:09.975498774,Clothing,7
2023-01-09 08:31:22.534126706,Furniture,9
2023-01-09 07:57:35.092754637,Books,3
2023-01-09 08:23:47.651382569,Electronics,12
2023-01-09 14:50:00.210010500,Toys,5
2023-01-08 21:16:12.768638431,Furniture,4
2023-01-09 10:42:25.327266363,Toys,4
2023-01-09 08:08:37.885894294,Electronics,9
2023-01-09 14:34:50.444522226,Furniture,1
2023-01-09 10:01:03.003150157,Furniture,4
2023-01-09 01:27:15.561778088,Toys,2
2023-01-09 19:53:28.120406020,Clothing,10
2023-01-08 23:19:40.679033951,Electronics,9
2023-01-09 06:45:53.237661883,Clothing,10
2023-01-09 06:12:05.796289814,Electronics,14
2023-01-09 06:38:18.354917745,Books,4
2023-01-09 08:04:30.913545677,Furniture,3
2023-01-09 20:30:43.472173608,Electronics,8
2023-01-09 05:56:56.030801540,Clothing,9
2023-01-09 10:23:08.589429471,Clothing,2
2023-01-09 23:49:21.148057402,Electronics,4
2023-01-09 03:15:33.706685334,Furniture,4
2023-01-09 21:41:46.265313265,Furniture,1
2023-01-09 09:07:58.823941197,Furniture,1
2023-01-09 08:34:11.382569128,Toys,9
2023-01-09 08:00:23.941197059,Electronics,12
2023-01-09 19:26:36.499824991,Furniture,9
2023-01-09 23:52:49.058452922,Electronics,12
2023-01-09 22:19:01.617080854,Clothing,10
2023-01-09 07:45:14.175708785,Books,5
2023-01-09 21:11:26.734336716,Electronics,2
2023-01-09 22:37:39.292964648,Toys,7
2023-01-10 05:03:51.851592579,Electronics,12
2023-01-10 06:30:04.410220511,Toys,2
2023-01-09 10:56:16.968848442,Furniture,10
2023-01-09 13:22:29.527476373,Electronics,4
2023-01-09 17:48:42.086104305,Books,10
2023-01-10 03:14:54.644732236,Furniture,7
2023-01-10 05:41:07.203360168,Books,5
2023-01-10 01:07:19.761988099,Books,10
2023-01-10 00:33:32.320616030,Electronics,3
2023-01-10 07:59:44.879243962,Books,4
2023-01-10 01:25:57.437871893,Toys,4
2023-01-10 01:52:09.996499825,Furniture,8
2023-01-10 01:18:22.555127756,Toys,2
2023-01-09 23:44:35.113755687,Toys,6
2023-01-10 11:10:47.672383619,Furniture,6
2023-01-09 18:37:00.231011550,Toys,2
2023-01-09 17:03:12.789639481,Electronics,3
2023-01-10 04:29:25.348267413,Electronics,9
2023-01-09 19:55:37.906895344,Books,1
2023-01-10 10:21:50.465523276,Books,9
2023-01-10 02:48:03.024151207,Electronics,10
2023-01-10 04:14:15.582779138,Toys,1
2023-01-10 02:40:28.141407070,Books,5
2023-01-10 05:06:40.700035001,Electronics,15
2023-01-10 10:32:53.258662933,Clothing,3
2023-01-10 15:59:05.817290864,Toys,4
2023-01-09 22:25:18.375918795,Furniture,9
2023-01-10 06:51:30.934546727,Electronics,8
2023-01-10 14:17:43.493174658,Clothing,7
2023-01-10 13:43:56.051802590,Books,10
2023-01-10 18:10:08.610430521,Books,1
2023-01-10 16:36:21.169058452,Furniture,1
2023-01-10 03:02:33.727686384,Furniture,5
2023-01-10 08:28:46.286314315,Furniture,1
2023-01-10 03:54:58.844942247,Clothing,10
2023-01-10 20:21:11.403570178,Toys,2
2023-01-10 03:47:23.962198109,Electronics,3
2023-01-10 23:13:36.520826041,Books,4
2023-01-10 12:39:49.079453972,Toys,8
2023-01-10 11:06:01.638081904,Clothing,6
2023-01-10 10:32:14.196709835,Furniture,10
2023-01-10 20:58:26.755337766,Electronics,2
2023-01-10 06:24:39.313965698,Clothing,10
2023-01-10 03:50:51.872593629,Electronics,8
2023-01-10 17:17:04.431221561,Toys,8
2023-01-10 22:43:16.989849492,Toys,7
2023-01-10 12:09:29.548477423,Clothing,9
2023-01-10 07:35:42.107105355,Furniture,7
2023-01-10 08:01:54.665733286,Furniture,10
2023-01-10 20:28:07.224361218,Books,5
2023-01-10 06:54:19.782989149,Clothing,7
2023-01-11 01:20:32.341617080,Electronics,2
2023-01-10 12:46:44.900245012,Furniture,4
2023-01-10 11:12:57.458872943,Furniture,5
2023-01-10 17:39:10.017500875,Electronics,2
2023-01-10 23:05:22.576128806,Toys,3
2023-01-10 12:31:35.134756737,Toys,9
2023-01-11 06:57:47.693384669,Clothing,9
2023-01-11 02:24:00.252012600,Furniture,2
2023-01-10 21:50:12.810640532,Electronics,10
2023-01-10 10:16:25.369268463,Toys,2
2023-01-10 20:42:37.927896394,Books,7
2023-01-11 05:08:50.486524326,Toys,7
2023-01-10 20:35:03.045152257,Electronics,10
2023-01-10 12:01:15.603780189,Furniture,3
2023-01-11 07:27:28.162408120,Toys,6
2023-01-10 14:53:40.721036051,Toys,2
2023-01-10 20:19:53.279663983,Toys,10
2023-01-11 01:46:05.838291914,Books,2
2023-01-11 02:12:18.396919846,Furniture,6
2023-01-10 21:38:30.955547777,Furniture,3
2023-01-10 17:04:43.514175708,Books,2
2023-01-11 07:30:56.072803640,Books,4
2023-01-11 02:57:08.631431571,Furniture,3
2023-01-10 23:23:21.190059502,Electronics,4
2023-01-11 00:49:33.748687434,Clothing,3
2023-01-11 12:15:46.307315365,Clothing,2
2023-01-10 22:41:58.865943297,Toys,8
2023-01-11 12:08:11.424571228,Books,8
2023-01-11 15:34:23.983199159,Books,10
2023-01-11 05:00:36.541827091,Furniture,3
2023-01-11 09:26:49.100455022,Electronics,12
2023-01-11 09:53:01.659082954,Furniture,5
2023-01-11 14:19:14.217710885,Electronics,9
2023-01-11 12:45:26.776338816,Electronics,8
2023-01-11 11:11:39.334966748,Toys,1
2023-01-10 22:37:51.893594679,Furniture,5
2023-01-11 00:04:04.452222611,Electronics,15
2023-01-11 17:30:17.010850542,Books,7
2023-01-11 12:56:29.569478473,Books,9
2023-01-11 22:22:42.128106405,Electronics,12
2023-01-11 17:48:54.686734336,Clothing,6
2023-01-11 19:15:07.245362268,Toys,9
2023-01-11 04:41:19.803990199,Electronics,12
2023-01-11 04:07:32.362618130,Furniture,2
2023-01-11 17:33:44.921246062,Clothing,1
2023-01-11 08:59:57.479873993,Toys,8
2023-01-11 18:26:10.038501925,Books,10
2023-01-11 07:52:22.597129856,Furniture,6
2023-01-11 12:18:35.155757787,Toys,7
2023-01-11 13:44:47.714385719,Books,1
2023-01-12 00:11:00.273013650,Furniture,2
2023-01-11 14:37:12.831641582,Electronics,14
2023-01-12 02:03:25.390269513,Toys,5
2023-01-11 13:29:37.948897444,Books,3
2023-01-11 15:55:50.507525376,Electronics,15
2023-01-12 03:22:03.066153307,Clothing,6
2023-01-11 15:48:15.624781239,Toys,3
2023-01-12 02:14:28.183409170,Electronics,8
2023-01-12 00:40:40.742037101,Toys,6
2023-01-11 12:06:53.300665033,Books,2
2023-01-12 04:33:05.859292964,Toys,9
2023-01-11 19:59:18.417920896,Electronics,9
2023-01-11 18:25:30.976548827,Clothing,4
2023-01-11 19:51:43.535176758,Toys,4
2023-01-11 17:17:56.093804690,Clothing,3
2023-01-11 12:44:08.652432621,Furniture,2
2023-01-12 03:10:21.211060553,Books,9
2023-01-11 12:36:33.769688484,Furniture,10
2023-01-11 16:02:46.328316415,Books,7
2023-01-11 16:28:58.886944347,Clothing,3
2023-01-12 10:55:11.445572278,Books,3
2023-01-12 12:21:24.004200210,Toys,1
2023-01-12 02:47:36.562828141,Furniture,4
2023-01-12 04:13:49.121456072,Books,5
2023-01-12 13:40:01.680084004,Toys,4
2023-01-12 08:06:14.238711935,Clothing,5
2023-01-12 06:32:26.797339867,Clothing,6
2023-01-12 12:58:39.355967798,Books,8
2023-01-12 06:24:51.914595729,Furniture,7
2023-01-12 08:51:04.473223661,Books,7
2023-01-11 22:17:17.031851592,Clothing,10
2023-01-11 21:43:29.590479523,Furniture,1
2023-01-12 14:09:42.149107455,Toys,6
2023-01-12 11:35:54.707735386,Electronics,14
2023-01-11 22:02:07.266363318,Furniture,2
2023-01-12 00:28:19.824991249,Furniture,8
2023-01-12 11:54:32.383619180,Clothing,7
